TF,gene
EP300,CHD7
EP300,EP300
EP300,PRKCE
EP300,SETD1B
FOSL1,FOSL1
FOSL1,RUNX3
FOSL1,VDR
FOSL1,MYBL1
FOSL1,SOX10
FOSL1,CHEK1
FOSL1,PLK1
FOSL1,CBFB
GATA4,GATA4
HOXB6,LHX1
HOXB6,GATA4
HOXB6,HOXB6
IRF7,KDM2A
IRF7,TP73
IRF7,JUNB
IRF7,RELB
IRF7,IRF7
IRF7,ZBTB17
JUN,STK11
JUN,JUN
JUN,JUNB
JUN,KLF6
JUN,TGIF1
JUNB,JUNB
JUNB,JUN
JUNB,RELB
JUNB,FOSL1
JUNB,VDR
KLF6,KLF6
KLF6,TGIF1
LHX1,TP73
LHX1,LHX1
MITF,LATS2
MITF,SOX5
MITF,GATA4
MITF,KLF6
MITF,MAPK1
MITF,ZEB2
MITF,ADCK3
MITF,PBRM1
MITF,PRKCE
MITF,RIPK2
MITF,DSTYK
MITF,MITF
MITF,SOX10
MYBL1,MYBL1
MYBL1,BUB1B
MYBL1,CBFB
MYBL1,DYRK1A
MYBL1,PLK1
MYBL1,PRPF4B
MYBL1,PTK2
NFATC2,NFATC2
NFYA,BRD2
NFYA,NFYA
NFYA,SRF
NR1I2,NR1I2
NR1I2,KDM2A
POLR2A,POLR2A
POLR2A,SETD1B
POLR2A,EP300
POLR2A,KDM2A
POLR2A,KMT2D
POLR2A,RUNX3
POLR2A,PLK1
RELB,RELB
RELB,VDR
RELB,JUNB
RELB,IRF7
RELB,NR1I2
RELB,RUNX3
RELB,ZBTB17
RELB,CSK
RELB,KDM2A
RELB,TP73
RELB,GFI1
RELB,MAPKAPK2
RUNX3,RUNX3
SIX5,CSK
SIX5,SETD1B
SIX5,SRF
SOX10,SOX10
SOX10,SOX5
SOX10,DSTYK
SOX10,MITF
SP1,INO80
SP1,MAP3K1
SP1,SOX5
SP1,SP1
SP1,KMT2D
SP1,NSD1
SP1,SETD1B
SP1,PLK2
SP1,NFATC2
SP1,BRD2
SP1,DYRK1A
SP1,EP300
SP1,NFAT5
SP1,VEZF1
SRF,BRD2
SRF,SRF
SRF,NFYA
SRF,THAP11
SRF,MAPKAPK2
TGIF1,JUN
TGIF1,TGIF1
TGIF1,KLF6
THAP11,THAP11
THAP11,ADCK3
THAP11,CBFB
THAP11,SRF
THAP11,CSNK2A2
TP73,TP73
VDR,VDR
YBX1,BUB1B
YBX1,PLK1
YBX1,YBX1
ZBTB17,CSK
ZBTB17,KDM2A
ZBTB17,SIX5
ZBTB17,STK11
ZBTB17,TP73
ZBTB17,GLI4
ZBTB17,MAP2K7
ZFX,DYRK1A
ZFX,ZFX
