,TF,gene
4,FOSL1,FOSL1
5,FOSL1,RUNX3
6,FOSL1,VDR
7,FOSL1,MYBL1
8,FOSL1,SOX10
12,GATA4,GATA4
15,HOXB6,HOXB6
16,IRF7,KDM2A
19,IRF7,RELB
20,IRF7,IRF7
21,IRF7,ZBTB17
23,JUN,JUN
24,JUN,JUNB
25,JUN,KLF6
26,JUN,TGIF1
27,JUNB,JUNB
28,JUNB,JUN
29,JUNB,RELB
30,JUNB,FOSL1
31,JUNB,VDR
32,KLF6,KLF6
33,KLF6,TGIF1
35,LHX1,LHX1
36,MITF,LATS2
37,MITF,SOX5
38,MITF,GATA4
39,MITF,KLF6
40,MITF,MAPK1
41,MITF,ZEB2
42,MITF,ADCK3
43,MITF,PBRM1
44,MITF,PRKCE
45,MITF,RIPK2
46,MITF,DSTYK
47,MITF,MITF
48,MITF,SOX10
49,MYBL1,MYBL1
50,MYBL1,BUB1B
51,MYBL1,CBFB
52,MYBL1,DYRK1A
53,MYBL1,PLK1
55,MYBL1,PTK2
56,NFATC2,NFATC2
57,NFYA,BRD2
58,NFYA,NFYA
61,NR1I2,KDM2A
62,POLR2A,POLR2A
63,POLR2A,SETD1B
64,POLR2A,EP300
65,POLR2A,KDM2A
66,POLR2A,KMT2D
67,POLR2A,RUNX3
68,POLR2A,PLK1
69,RELB,RELB
70,RELB,VDR
71,RELB,JUNB
74,RELB,RUNX3
75,RELB,ZBTB17
76,RELB,CSK
77,RELB,KDM2A
78,RELB,TP73
79,RELB,GFI1
80,RELB,MAPKAPK2
81,RUNX3,RUNX3
85,SOX10,SOX10
86,SOX10,SOX5
87,SOX10,DSTYK
88,SOX10,MITF
92,SP1,SP1
93,SP1,KMT2D
94,SP1,NSD1
95,SP1,SETD1B
98,SP1,BRD2
99,SP1,DYRK1A
100,SP1,EP300
101,SP1,NFAT5
102,SP1,VEZF1
104,SRF,SRF
107,SRF,MAPKAPK2
110,TGIF1,KLF6
111,THAP11,THAP11
112,THAP11,ADCK3
116,TP73,TP73
117,VDR,VDR
119,YBX1,PLK1
120,YBX1,YBX1
